label,level_1,level_2,level_3,level_4
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-medical-spanish-communication-in-healthcare-contexts,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-mineria-de-datos-aplicada-al-marketing,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-posicionamiento-y-marca-digital,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-python-aplicado-a-la-ciencia-de-datos,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-python-de-la-a-a-la-z-desde-programacion-hasta-gestion-de-datos,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-upvalenciax-fitness-corporativo,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/apa-psychology-in-action,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/apa-research-methods-in-psychology,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aptly-getting-started-with-social-media-marketing,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aptly-job-search-with-genai,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aptly-marketing-with-tiktok,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aptly-search-advertising-with-google,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/armeducationx-advanced-embedded-systems-on-arm,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/armeducationx-embedded-systems-essentials,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/armeducationx-teaching-with-physical-computing,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aws-aws-cloud-technology-consultant,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aws-cloud-solutions-architect-professional-certificate,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aws-devops-and-ai-on-aws,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aws-generative-ai-applications,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/aws-generative-ai-for-developers,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/babsonx-ai-and-data-analytics-for-business-leaders,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/babsonx-entrepreneurial-mindset-and-leadership,
